League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
nba,2024-12-21T01:00:00.000Z,OKC @ MIA,,custom,game,-105,29.5,win,1.2,1.1429,12,11.4286,
epl,2024-12-21T15:00:00.000Z,NFO @ BRE,NFO @ BRE: o2.75 -115,over,game,-115,2.75,loss,1.725,-1.725,17.25,-17.25,
seriea,2024-12-21T17:00:00.000Z,NAP @ GEN,NAP -0.75 -120,spread_away,game,-120,-0.75,win,1.2,1,12,10,
ncaaf,2024-12-21T17:00:00.000Z,SMU @ PSU,(Live) SMU +17.5 -111,spread_away,game,-111,17.5,loss,1,-1,10,-10,
ncaaf,2024-12-21T17:00:00.000Z,SDKSU @ NDSU,SDKSU -3 -115,spread_away,game,-115,-3,loss,2.3,-2.3,23,-23,
ncaab,2024-12-21T17:00:00.000Z,PRIN @ RUTG,(Live) RUTG +1 -112,spread_home,game,-112,1,push,1.4,0,14,0,
ncaab,2024-12-21T17:00:00.000Z,PRIN @ RUTG,(Live) RUTG +179,ml_home,game,179,179,loss,1,-1,10,-10,
laliga,2024-12-21T17:30:00.000Z,ATH @ OSA,ATH @ OSA: o2 -130,over,game,-130,2,win,3.25,2.5,32.5,25,
ncaab,2024-12-21T21:00:00.000Z,ASU @ MASS,(Live) ASU -2.5 -103,spread_away,game,-103,-2.5,win,1,0.9709,10,9.7087,
ncaaf,2024-12-21T21:00:00.000Z,CLEM @ TEX,CLEM @ TEX: o50.5 -110,over,game,-110,50.5,win,1.65,1.5,16.5,15,
ncaaf,2024-12-22T01:00:00.000Z,TENN @ OSU,OSU -6.8 -150,spread_home,game,-150,-6.8,win,1.5,1,15,10,
nba,2024-12-22T01:30:00.000Z,POR @ SAS,,custom,game,-105,16.5,win,1,0.9524,10,9.5238,
nba,2024-12-22T01:30:00.000Z,LAC @ DAL,,custom,game,101,22.5,loss,1,-1,10,-10,
nba,2024-12-22T02:00:00.000Z,DET @ PHX,,custom,game,-121,18.5,win,1,0.8264,10,8.2645,
laliga,2024-12-22T13:00:00.000Z,ALA @ VCF,ALA @ VCF: o2 -110,over,game,-110,2,win,2.2,2,22,20,
bundesliga,2024-12-22T14:30:00.000Z,FCH @ BOC,FCH +250,ml_away,game,250,250,loss,2.3,-2.3,23,-23,
nfl,2024-12-22T18:00:00.000Z,NYG @ ATL,,custom,game,-107,19.5,win,1.5,1.4019,15,14.0187,
nfl,2024-12-22T18:00:00.000Z,PHI @ WAS,(Live) WAS +13.5 -110,spread_home,game,-110,13.5,win,1,0.9091,10,9.0909,
nfl,2024-12-22T18:00:00.000Z,TEN @ IND,,custom,game,-112,48.5,win,1,0.8929,10,8.9286,
nfl,2024-12-22T18:00:00.000Z,LA @ NYJ,,custom,game,-114,51.5,win,1,0.8772,10,8.7719,
nfl,2024-12-22T18:00:00.000Z,ARI @ CAR,(Live) ARI +8.5 -120,spread_away,game,-120,8.5,win,1,0.8333,10,8.3333,
